date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:49	707573/707573	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/LANGUAGE	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/LANGUAGE.html	(from https://phuongtanit.blogspot.com/)
18:21:50	712643/712643	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/Theme%20Web	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/Theme%20Web.html	(from https://phuongtanit.blogspot.com/)
18:21:51	674629/674629	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/Active%20Win%20%26%20Office	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/Active%20Win%20&%20Office.html	(from https://phuongtanit.blogspot.com/)
18:21:52	689085/689085	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/Th%e1%bb%a7%20Thu%e1%ba%adt%20Win%2010	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/Th%e1%bb%a7%20Thu%e1%ba%adt%20Win%2010.html	(from https://phuongtanit.blogspot.com/)
18:21:52	669234/669234	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/Th%e1%bb%a7%20Thu%e1%ba%adt%20Win%207	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/Th%e1%bb%a7%20Thu%e1%ba%adt%20Win%207.html	(from https://phuongtanit.blogspot.com/)
18:21:53	681991/681991	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/Boot	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/Boot.html	(from https://phuongtanit.blogspot.com/)
18:21:54	706192/706192	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/Internet-m%e1%ba%a1ng	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/Internet-m%e1%ba%a1ng.html	(from https://phuongtanit.blogspot.com/)
18:21:55	686830/686830	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/Facebook	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/Facebook.html	(from https://phuongtanit.blogspot.com/)
18:21:56	718845/718845	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/blogger	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/blogger.html	(from https://phuongtanit.blogspot.com/)
18:21:57	669046/669046	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/T%e1%ba%a3i%20Win%2010	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/T%e1%ba%a3i%20Win%2010.html	(from https://phuongtanit.blogspot.com/)
18:21:58	662354/662354	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/Office%202019	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/Office%202019.html	(from https://phuongtanit.blogspot.com/)
